false_positive_rate,true_positive_rate,thresholds
0.0,0.0,inf
0.02092050209205021,0.032679738562091505,1.0
0.09623430962343096,0.11764705882352941,0.8888888888888888
0.200836820083682,0.2222222222222222,0.7777777777777778
0.3891213389121339,0.39869281045751637,0.6666666666666666
0.5397489539748954,0.5882352941176471,0.5555555555555556
0.6359832635983264,0.7450980392156863,0.4444444444444444
0.7656903765690377,0.8823529411764706,0.3333333333333333
0.8786610878661087,0.9477124183006536,0.2222222222222222
0.9372384937238494,0.9869281045751634,0.1111111111111111
1.0,1.0,0.0
