Fold,Accuracy,Specificity,Precision,Recall,F1 Score,AUC-ROC,AUPRC,Model
7.0,0.5204081632653061,0.39705882352941174,0.36923076923076925,0.8,0.5052631578947369,0.689828431372549,0.5415402351398914,Logistic Regression
8.0,0.6,0.5038167938931297,0.4396551724137931,0.796875,0.5666666666666667,0.6846374045801528,0.48386658043769354,Logistic Regression
9.0,0.5948717948717949,0.4883720930232558,0.44537815126050423,0.803030303030303,0.572972972972973,0.7001409443269908,0.5385793655232252,Logistic Regression
10.0,0.5948717948717949,0.4583333333333333,0.48412698412698413,0.8133333333333334,0.6069651741293532,0.6974444444444445,0.531021022137656,Logistic Regression
5.5,0.574382522239665,0.45209267107305795,0.4469206115101131,0.7986966950197931,0.5709633272947274,0.6764389774304274,0.5105817170454441,Logistic Regression (Average)
1.0,0.576530612244898,0.448,0.4523809523809524,0.8028169014084507,0.5786802030456852,0.6620845070422535,0.6620845070422535,Voting Ensemble
2.0,0.5969387755102041,0.4473684210526316,0.5116279069767442,0.8048780487804879,0.6255924170616114,0.6539366709456567,0.6539366709456567,Voting Ensemble
3.0,0.5204081632653061,0.3643410852713178,0.40145985401459855,0.8208955223880597,0.5392156862745098,0.6363531181302787,0.6363531181302787,Voting Ensemble
4.0,0.5561224489795918,0.4112903225806452,0.44274809160305345,0.8055555555555556,0.5714285714285714,0.6812275985663083,0.6812275985663083,Voting Ensemble
5.0,0.5867346938775511,0.47794117647058826,0.4132231404958678,0.8333333333333334,0.5524861878453039,0.6746323529411765,0.6746323529411765,Voting Ensemble
6.0,0.6581632653061225,0.5508474576271186,0.5470085470085471,0.8205128205128205,0.6564102564102564,0.6926336375488918,0.6926336375488918,Voting Ensemble
7.0,0.5306122448979592,0.4117647058823529,0.375,0.8,0.5106382978723404,0.6871323529411765,0.6871323529411765,Voting Ensemble
8.0,0.5692307692307692,0.4580152671755725,0.4180327868852459,0.796875,0.5483870967741935,0.6803435114503816,0.6803435114503816,Voting Ensemble
9.0,0.558974358974359,0.43410852713178294,0.42063492063492064,0.803030303030303,0.5520833333333334,0.7089499647639183,0.7089499647639183,Voting Ensemble
10.0,0.6102564102564103,0.4666666666666667,0.49606299212598426,0.84,0.6237623762376238,0.6917777777777778,0.6917777777777778,Voting Ensemble
5.5,0.5763971742543171,0.4470343629858677,0.4478179192125914,0.8127897485009011,0.5758684426283428,0.676907149210782,0.676907149210782,Voting Ensemble (Average)
