Fold,Accuracy,Specificity,Precision,Recall,F1 Score,AUC-ROC,AUPRC,Model
1.0,0.5561224489795918,0.416,0.43846153846153846,0.8028169014084507,0.5671641791044776,0.6659154929577465,0.4839282091579295,Random Forest
2.0,0.6020408163265306,0.45614035087719296,0.515625,0.8048780487804879,0.6285714285714286,0.6663457424047926,0.5456203720931367,Random Forest
3.0,0.5051020408163265,0.3488372093023256,0.391304347826087,0.8059701492537313,0.526829268292683,0.6426009487446488,0.47021084816448455,Random Forest
4.0,0.5867346938775511,0.46774193548387094,0.4634146341463415,0.7916666666666666,0.5846153846153846,0.6754032258064516,0.5118122900694927,Random Forest
5.0,0.576530612244898,0.47794117647058826,0.40336134453781514,0.8,0.5363128491620112,0.6669117647058824,0.39406709489674524,Random Forest
6.0,0.6224489795918368,0.5084745762711864,0.5166666666666667,0.7948717948717948,0.6262626262626263,0.6967622772707517,0.5453536254340818,Random Forest
7.0,0.5204081632653061,0.39705882352941174,0.36923076923076925,0.8,0.5052631578947369,0.6824754901960784,0.5094189082576299,Random Forest
8.0,0.5743589743589743,0.46564885496183206,0.4214876033057851,0.796875,0.5513513513513514,0.6599475190839694,0.47097989831698706,Random Forest
9.0,0.5384615384615384,0.40310077519379844,0.4076923076923077,0.803030303030303,0.5408163265306123,0.7155273666901574,0.5927710994519999,Random Forest
10.0,0.6358974358974359,0.5333333333333333,0.5172413793103449,0.8,0.6282722513089005,0.6956666666666667,0.5162424477739257,Random Forest
5.5,0.5718105703819989,0.44742770354235395,0.44444855911776554,0.8000108864011436,0.5695458823094213,0.6767556494527146,0.5040404793616413,Random Forest (Average)
1.0,0.5714285714285714,0.424,0.45038167938931295,0.8309859154929577,0.5841584158415841,0.6655774647887324,0.5078685287109139,XGBoost
2.0,0.6020408163265306,0.4649122807017544,0.5158730158730159,0.7926829268292683,0.625,0.6554343175010697,0.5398277811896681,XGBoost
3.0,0.576530612244898,0.4573643410852713,0.43548387096774194,0.8059701492537313,0.5654450261780105,0.63056808978364,0.4299666359083156,XGBoost
4.0,0.5102040816326531,0.3387096774193548,0.4142857142857143,0.8055555555555556,0.5471698113207547,0.655241935483871,0.49693823230321904,XGBoost
5.0,0.6224489795918368,0.5441176470588235,0.43636363636363634,0.8,0.5647058823529412,0.6627450980392158,0.40044437274376243,XGBoost
6.0,0.6581632653061225,0.5677966101694916,0.5486725663716814,0.7948717948717948,0.6492146596858639,0.6987179487179487,0.542353856727302,XGBoost
7.0,0.5306122448979592,0.4117647058823529,0.375,0.8,0.5106382978723404,0.6772058823529411,0.5116152581156213,XGBoost
8.0,0.5692307692307692,0.4580152671755725,0.4180327868852459,0.796875,0.5483870967741935,0.6618559160305344,0.5097241204429571,XGBoost
9.0,0.558974358974359,0.43410852713178294,0.42063492063492064,0.803030303030303,0.5520833333333334,0.6974395113929998,0.5558773972343245,XGBoost
10.0,0.558974358974359,0.4,0.45864661654135336,0.8133333333333334,0.5865384615384616,0.6513333333333333,0.47552894594499584,XGBoost
5.5,0.5758608058608059,0.4500789056624404,0.4473374807312623,0.8043304978366944,0.5733340984897484,0.6656119497424287,0.49701451293210797,XGBoost (Average)
1.0,0.5,0.368,0.3969465648854962,0.7323943661971831,0.5148514851485149,0.5490140845070423,0.3561152686163393,KNN
2.0,0.5408163265306123,0.3157894736842105,0.47297297297297297,0.8536585365853658,0.6086956521739131,0.5701754385964912,0.500564148246323,KNN
3.0,0.5153061224489796,0.3953488372093023,0.390625,0.746268656716418,0.5128205128205128,0.589378687955571,0.43779694846667894,KNN
4.0,0.6173469387755102,0.5161290322580645,0.48717948717948717,0.7916666666666666,0.6031746031746031,0.6494735663082437,0.467143940976294,KNN
5.0,0.44387755102040816,0.2647058823529412,0.33774834437086093,0.85,0.4834123222748815,0.5824142156862745,0.3507344060438525,KNN
6.0,0.46938775510204084,0.2711864406779661,0.410958904109589,0.7692307692307693,0.5357142857142857,0.5827900912646675,0.5279194094964772,KNN
7.0,0.44387755102040816,0.3161764705882353,0.32116788321167883,0.7333333333333333,0.4467005076142132,0.5668504901960785,0.3765853965841083,KNN
8.0,0.40512820512820513,0.20610687022900764,0.3333333333333333,0.8125,0.4727272727272727,0.6115219465648855,0.413185581128181,KNN
9.0,0.5538461538461539,0.4263565891472868,0.41732283464566927,0.803030303030303,0.5492227979274611,0.6270260747004932,0.4262531873516552,KNN
10.0,0.5230769230769231,0.36666666666666664,0.43283582089552236,0.7733333333333333,0.5550239234449761,0.5998333333333333,0.5073381966759926,KNN
5.5,0.5012663526949241,0.34464662628136805,0.400109114560461,0.7865415965093373,0.5282343363020634,0.5928477929113082,0.43636364835859015,KNN (Average)
1.0,0.576530612244898,0.464,0.45081967213114754,0.7746478873239436,0.5699481865284974,0.6738028169014085,0.5194813927441998,Logistic Regression
2.0,0.576530612244898,0.42105263157894735,0.4961832061068702,0.7926829268292683,0.6103286384976526,0.6563970902866924,0.5756479469269509,Logistic Regression
3.0,0.5051020408163265,0.3488372093023256,0.391304347826087,0.8059701492537313,0.526829268292683,0.6267499710748582,0.4254601383595631,Logistic Regression
4.0,0.5561224489795918,0.4112903225806452,0.44274809160305345,0.8055555555555556,0.5714285714285714,0.6655465949820789,0.48301456248201213,Logistic Regression
5.0,0.5408163265306123,0.4264705882352941,0.38095238095238093,0.8,0.5161290322580645,0.6781862745098038,0.4618269221165997,Logistic Regression
6.0,0.6785714285714286,0.6016949152542372,0.5688073394495413,0.7948717948717948,0.6631016042780749,0.6916558018252933,0.5453790045866489,Logistic Regression
