Title,Accuracy,Specificity,Precision,Recall,F1 Score,AUC-ROC,AUPRC
Average_RF:,0.6348534798534798,0.5973072601674849,0.4920167799768408,0.7025195913563191,0.5775283088504172,0.649913425761902,0.6501043970742199
Std_RF:,0.008156399738071128,0.013107940809263183,0.007279847752466971,0.002860431608469323,0.0048271309470127016,0.005638345929349931,0.0032054418688457135
Average_XGB:,0.6254395604395604,0.5858063687922869,0.4834855126551769,0.6976391928713447,0.5696523971627214,0.6417227808318158,0.6442669576821514
Std_XGB:,0.004927364120715045,0.00781881608013688,0.003632692912717084,0.003541207937647054,0.0027948276492321756,0.0033305428582792924,0.0017921174869866146
Average_KNN:,0.5271140763997907,0.4366222747923015,0.4046112089915798,0.6905661983552852,0.5085691715464953,0.5635942365737933,0.6024688711250284
Std_KNN:,0.003997737759471163,0.009975944668741951,0.0024045777865590863,0.010618741841625852,0.004059499922482093,0.004112394028057421,0.003959336796132119
Average_LogReg:,0.6237985347985348,0.5829550552526399,0.4814780126659697,0.6978746557111494,0.56848590928727,0.6404148554818947,0.6433307036286432
Std_LogReg:,0.0069791945645482955,0.011579769113750131,0.006791880824394157,0.0017525766334613967,0.0043761977276373645,0.005240406935492621,0.0031927273303685028
Average_Voting:,0.6349466248037677,0.5940717374296572,0.4921143315232558,0.7087889532018153,0.5796119519143621,0.6514303453157363,0.6521630500025146
Std_Voting:,0.007859855661944574,0.013288939939357267,0.007787977470966031,0.004324988766363007,0.005093718351950065,0.0058257735275047545,0.0037487462462361754
