Title,Accuracy,Specificity,Precision,Recall,F1 Score,AUC-ROC,AUPRC
Average_RF:,0.6540617477760335,0.9630919871956678,0.6015326895326896,0.09514693216451213,0.16063168467540992,0.5291194596800899,0.5093003027376641
Std_RF:,0.002875440972167493,0.006288651027565135,0.03410114430141753,0.008127656096909207,0.011264455757454344,0.0028847891190475596,0.015067683569574043
Average_XGB:,0.6543579277864991,0.8407653671483983,0.5274958312858866,0.31854118087492245,0.39311850023796024,0.5796532740116603,0.544383498231111
Std_XGB:,0.005129466333234999,0.005586813686881985,0.011412171691949172,0.011467478757853287,0.012015659276136164,0.0056271994758106125,0.008042916094196259
Average_KNN:,0.6238246991104135,0.8082727282473318,0.45505967215516446,0.29064424358102037,0.35301380318391745,0.5494584859141762,0.4990136533155022
Std_KNN:,0.006963254319965653,0.006386044876369412,0.015609649796521567,0.013890133164013241,0.015154259367213596,0.008064821458712927,0.0118215927147222
Average_Voting:,0.6537519623233908,0.9079926706597305,0.5410694760872041,0.19396682202813026,0.2814585070051252,0.5509797463439304,0.5109025027991637
Std_Voting:,0.007484931712548631,0.009919327996504015,0.02725303481164188,0.010666691929023761,0.014301586564346163,0.007298861601609658,0.01507256444685853
